bucket,vertex,k,communities,answer_edges,indexed_ms,indexfree_ms,speedup
p80_90,8452,5,0,0,0.000250,0.000500,2.00
p80_90,5387,5,0,0,0.000334,0.000209,0.63
p80_90,3851,5,0,0,0.000166,0.000209,1.26
p80_90,6161,5,0,0,0.000250,0.000208,0.83
p80_90,7588,5,0,0,0.000166,0.000125,0.75
p80_90,6832,5,0,0,0.000208,0.000291,1.40
p80_90,5545,5,0,0,0.000250,0.000334,1.34
p80_90,8400,5,0,0,0.000333,0.000125,0.38
p80_90,14182,5,0,0,0.000166,0.000125,0.75
p80_90,6919,5,0,0,0.000292,0.000250,0.86
p80_90,11892,5,0,0,0.000209,0.000125,0.60
p80_90,13413,5,0,0,0.000167,0.000250,1.50
p80_90,14338,5,0,0,0.000209,0.000125,0.60
p80_90,6354,5,0,0,0.000167,0.000166,0.99
p80_90,11842,5,0,0,0.000292,0.000125,0.43
p80_90,12704,5,0,0,0.000250,0.000166,0.66
p80_90,8146,5,0,0,0.000292,0.000125,0.43
p80_90,6072,5,0,0,0.000291,0.000250,0.86
p80_90,12749,5,0,0,0.000167,0.000333,1.99
p80_90,4128,5,0,0,0.000417,0.000333,0.80
p80_90,8534,5,0,0,0.000166,0.000292,1.76
p80_90,3383,5,0,0,0.000291,0.000125,0.43
p80_90,11828,5,0,0,0.000333,0.000292,0.88
p80_90,9094,5,0,0,0.000208,0.000291,1.40
p80_90,3853,5,0,0,0.000333,0.000209,0.63
p80_90,7103,5,0,0,0.000167,0.000250,1.50
p80_90,5661,5,0,0,0.000250,0.000125,0.50
p80_90,10478,5,0,0,0.000209,0.000250,1.20
p80_90,4027,5,0,0,0.000291,0.000250,0.86
p80_90,15206,5,0,0,0.000250,0.000167,0.67
p80_90,10497,5,0,0,0.000250,0.000167,0.67
p80_90,3819,5,0,0,0.000208,0.000416,2.00
p80_90,11865,5,0,0,0.000250,0.000250,1.00
p80_90,3631,5,0,0,0.000167,0.000209,1.25
p80_90,5853,5,0,0,0.000208,0.000250,1.20
p80_90,5466,5,0,0,0.000250,0.000291,1.16
p80_90,15200,5,0,0,0.000292,0.000334,1.14
p80_90,3431,5,0,0,0.000250,0.000167,0.67
p80_90,14771,5,0,0,0.000250,0.000292,1.17
p80_90,5060,5,0,0,0.000417,0.000291,0.70
p80_90,5814,5,0,0,0.000167,0.000167,1.00
p80_90,4576,5,0,0,0.000250,0.000208,0.83
p80_90,8553,5,0,0,0.000167,0.000167,1.00
p80_90,10638,5,0,0,0.000291,0.000166,0.57
p80_90,4383,5,0,0,0.000166,0.000292,1.76
p80_90,15172,5,0,0,0.000292,0.000166,0.57
p80_90,5577,5,0,0,0.000209,0.000167,0.80
p80_90,8476,5,0,0,0.000292,0.000166,0.57
p80_90,11196,5,0,0,0.000250,0.000209,0.84
p80_90,6079,5,0,0,0.000334,0.000166,0.50
p80_90,11911,5,0,0,0.000167,0.000167,1.00
p80_90,7483,5,0,0,0.000292,0.000250,0.86
p80_90,5241,5,0,0,0.000166,0.000250,1.51
p80_90,9986,5,0,0,0.000375,0.000292,0.78
p80_90,12971,5,0,0,0.000167,0.000166,0.99
p80_90,11822,5,0,0,0.000166,0.000292,1.76
p80_90,11467,5,0,0,0.000125,0.000208,1.66
p80_90,13320,5,0,0,0.000375,0.000167,0.45
p80_90,15150,5,0,0,0.000166,0.000250,1.51
p80_90,12641,5,0,0,0.000125,0.000250,2.00
p80_90,5137,5,0,0,0.000167,0.000208,1.25
p80_90,6702,5,0,0,0.000167,0.000250,1.50
p80_90,4365,5,0,0,0.000167,0.000125,0.75
p80_90,9595,5,0,0,0.000250,0.000208,0.83
p80_90,14562,5,0,0,0.000250,0.000209,0.84
p80_90,12751,5,0,0,0.000250,0.000208,0.83
p90_100,22993,5,0,0,0.000209,0.000291,1.39
p90_100,23420,5,0,0,0.000417,0.000250,0.60
p90_100,18784,5,0,0,0.000292,0.000250,0.86
p90_100,16643,5,0,0,0.000166,0.000167,1.01
p90_100,19575,5,0,0,0.000125,0.000125,1.00
p90_100,17173,5,0,0,0.000209,0.000250,1.20
p90_100,21029,5,0,0,0.000167,0.000167,1.00
p90_100,17463,5,0,0,0.000167,0.000166,0.99
p90_100,15961,5,0,0,0.000209,0.000250,1.20
p90_100,22199,5,0,0,0.000208,0.000167,0.80
p90_100,24114,5,0,0,0.000167,0.000250,1.50
p90_100,22900,5,0,0,0.000167,0.000250,1.50
p90_100,16484,5,0,0,0.000167,0.000250,1.50
p90_100,22023,5,0,0,0.000291,0.000333,1.14
p90_100,15306,5,0,0,0.000125,0.000334,2.67
p90_100,23944,5,0,0,0.000292,0.000291,1.00
p90_100,19060,5,0,0,0.000125,0.000292,2.34
p90_100,23727,5,0,0,0.000125,0.000208,1.66
p90_100,19581,5,0,0,0.000125,0.000334,2.67
p90_100,16107,5,0,0,0.000125,0.000291,2.33
p90_100,19131,5,0,0,0.000166,0.000250,1.51
p90_100,25443,5,0,0,0.000125,0.000167,1.34
p90_100,18455,5,0,0,0.000250,0.000250,1.00
p90_100,21390,5,0,0,0.000167,0.000167,1.00
p90_100,24504,5,0,0,0.000209,0.000333,1.59
p90_100,23772,5,0,0,0.000167,0.000250,1.50
p90_100,19356,5,0,0,0.000166,0.000125,0.75
p90_100,22325,5,0,0,0.000166,0.000125,0.75
p90_100,16644,5,0,0,0.000167,0.000125,0.75
p90_100,19145,5,0,0,0.000208,0.000209,1.00
p90_100,16891,5,0,0,0.000208,0.000125,0.60
p90_100,22771,5,0,0,0.000333,0.000209,0.63
p90_100,20035,5,0,0,0.000167,0.000250,1.50
p90_100,21593,5,0,0,0.000167,0.000166,0.99
p90_100,17848,5,0,0,0.000208,0.000167,0.80
p90_100,21191,5,0,0,0.000250,0.000375,1.50
p90_100,23621,5,0,0,0.000167,0.000250,1.50
p90_100,25062,5,0,0,0.000208,0.000208,1.00
p90_100,20255,5,0,0,0.000125,0.000167,1.34
p90_100,23264,5,0,0,0.000375,0.000250,0.67
p90_100,19569,5,0,0,0.000167,0.000167,1.00
p90_100,19434,5,0,0,0.000166,0.000250,1.51
p90_100,19149,5,0,0,0.000167,0.000125,0.75
p90_100,23759,5,0,0,0.000292,0.000125,0.43
p90_100,22770,5,0,0,0.000167,0.000125,0.75
p90_100,20959,5,0,0,0.000291,0.000167,0.57
p90_100,17827,5,0,0,0.000167,0.000250,1.50
p90_100,18183,5,0,0,0.000209,0.000292,1.40
p90_100,24002,5,0,0,0.000167,0.000166,0.99
p90_100,17471,5,0,0,0.000208,0.000250,1.20
p90_100,23776,5,0,0,0.000167,0.000167,1.00
p90_100,15972,5,0,0,0.000167,0.000167,1.00
p90_100,17882,5,0,0,0.000166,0.000334,2.01
p90_100,24462,5,0,0,0.000333,0.000166,0.50
p90_100,19244,5,0,0,0.000167,0.000209,1.25
p90_100,17470,5,0,0,0.000250,0.000166,0.66
p90_100,26191,5,0,0,0.000250,0.000250,1.00
p90_100,19380,5,0,0,0.000333,0.000209,0.63
p90_100,20668,5,0,0,0.000250,0.000125,0.50
p90_100,21157,5,0,0,0.000250,0.000209,0.84
p90_100,21809,5,0,0,0.000167,0.000250,1.50
p90_100,18597,5,0,0,0.002375,0.000167,0.07
p90_100,18275,5,0,0,0.000458,0.000250,0.55
p90_100,15418,5,0,0,0.000333,0.000333,1.00
p90_100,19712,5,0,0,0.000167,0.000334,2.00
p90_100,23989,5,0,0,0.000167,0.000250,1.50
p90_100,18189,5,0,0,0.000250,0.000291,1.16
p90_100,16945,5,0,0,0.000166,0.000167,1.01
p90_100,19578,5,0,0,0.000208,0.000125,0.60
p90_100,17191,5,0,0,0.000167,0.000292,1.75
p90_100,18399,5,0,0,0.000208,0.000208,1.00
p90_100,23462,5,0,0,0.000209,0.000167,0.80
p90_100,17589,5,0,0,0.000208,0.000375,1.80
p90_100,18340,5,0,0,0.000125,0.000167,1.34
p90_100,17924,5,0,0,0.000292,0.000250,0.86
p90_100,21017,5,0,0,0.000208,0.000166,0.80
p90_100,22283,5,0,0,0.000208,0.000125,0.60
p90_100,17865,5,0,0,0.000500,0.000209,0.42
